LOCATION A,LOCATION B,TRANSIT TIME(Minutes),RequiredGapSlots
block-e-camp-3-lab,chem-lab-cam3-lab,20,1
block-e-camp-3-lab,block-a-camp-3-lab,20,1
block-e-camp-3-lab,em-lab-cam-8--lab,20,1
cam-3-class,a-dl-lab,20,1
cam-3-class,b--wl-lab,20,1
cam-3-class,c-wl-lab,20,1
cam-3-class,lab-cam-3-lab,20,1
cam-3-class,campus--3phy/ed-lab,20,1
cam-3-class,a-dl--lab,20,1
cam-3-class,b-wl-lab,20,1
cam-3-class,block-e-camp-3-lab,20,1
cam-3-class,chem-lab-cam3-lab,20,1
cam-3-class,block-a-camp-3-lab,20,1
cam-3-class,em-lab-cam-8--lab,20,1
chem-lab-cam3-lab,a-dl-lab,20,1
chem-lab-cam3-lab,campus-17-class,20,1
chem-lab-cam3-lab,b--wl-lab,20,1
chem-lab-cam3-lab,c-wl-lab,20,1
chem-lab-cam3-lab,lab-cam-3-lab,20,1
chem-lab-cam3-lab,campus--3phy/ed-lab,20,1
chem-lab-cam3-lab,a-dl--lab,20,1
chem-lab-cam3-lab,campus-8class,20,1
chem-lab-cam3-lab,b-wl-lab,20,1
chem-lab-cam3-lab,block-e-camp-3-lab,20,1
chem-lab-cam3-lab,block-a-camp-3-lab,20,1
chem-lab-cam3-lab,em-lab-cam-8--lab,20,1
block-a-camp-3-lab,a-dl-lab,20,1
block-a-camp-3-lab,campus-17-class,20,1
block-a-camp-3-lab,b--wl-lab,20,1
block-a-camp-3-lab,c-wl-lab,20,1
block-a-camp-3-lab,lab-cam-3-lab,20,1
block-a-camp-3-lab,campus--3phy/ed-lab,20,1
block-a-camp-3-lab,a-dl--lab,20,1
block-a-camp-3-lab,campus-8class,20,1
block-a-camp-3-lab,b-wl-lab,20,1
block-a-camp-3-lab,block-e-camp-3-lab,20,1
block-a-camp-3-lab,chem-lab-cam3-lab,20,1
block-a-camp-3-lab,em-lab-cam-8--lab,20,1
em-lab-cam-8--lab,a-dl-lab,20,1
em-lab-cam-8--lab,campus-17-class,20,1
em-lab-cam-8--lab,b--wl-lab,20,1
em-lab-cam-8--lab,c-wl-lab,20,1
em-lab-cam-8--lab,lab-cam-3-lab,20,1
em-lab-cam-8--lab,campus--3phy/ed-lab,20,1
em-lab-cam-8--lab,a-dl--lab,20,1
em-lab-cam-8--lab,campus-8class,20,1
em-lab-cam-8--lab,b-wl-lab,20,1
em-lab-cam-8--lab,block-e-camp-3-lab,20,1
em-lab-cam-8--lab,chem-lab-cam3-lab,20,1
em-lab-cam-8--lab,block-a-camp-3-lab,20,1
cam-12-class,a-dl-lab,20,1
cam-12-class,b--wl-lab,20,1
cam-12-class,c-wl-lab,20,1
cam-12-class,lab-cam-3-lab,20,1
cam-12-class,campus--3phy/ed-lab,20,1
cam-12-class,a-dl--lab,20,1
cam-12-class,b-wl-lab,20,1
cam-12-class,block-e-camp-3-lab,20,1
cam-12-class,chem-lab-cam3-lab,20,1
cam-12-class,block-a-camp-3-lab,20,1
cam-12-class,em-lab-cam-8--lab,20,1
